Countries,BirthRate(Per1000),LifeExpectancy
(2008)Afghanistan,46.613,47.532
(2008)Albania,14.69,76.492
(2008)Algeria,20.804,72.44
(2008)Angola,42.908,49.879
(2008)Argentina,17.372,75.387
(2008)Armenia,15.222,73.794
(2008)Aruba,11.846,74.811
(2008)Australia,12.741,81.567
(2008)Austria,9.138,80.51
(2008)Azerbaijan,19.,70.15
(2008)Bahamas,16.863,74.848
(2008)Bahrain,18.151,74.675
(2008)Bangladesh,21.589,68.007
(2008)Barbados,11.237,76.343
(2008)Belarus,9.97,69.194
(2008)Belgium,11.293,79.777
(2008)Belize,24.916,75.388
(2008)Benin,39.599,54.86
(2008)Bhutan,21.522,66.066
(2008)Bolivia,27.349,65.701
(2008)Bosnia and Herzegovina,9.168,75.221
(2008)Botswana,24.676,52.812
(2008)Brazil,16.405,72.464
(2008)Brunei,20.061,77.6
(2008)Bulgaria,9.558,73.317
(2008)Burkina Faso,47.819,54.065
(2008)Burundi,34.581,49.054
(2008)Cambodia,24.89,61.736
(2008)Cameroon,37.113,50.194
(2008)Canada,10.625,80.743
(2008)Cape Verde,24.261,73.587
(2008)Central African Rep.,35.623,46.217
(2008)Chad,45.84,48.634
(2008)Channel Islands,9.426,79.586
(2008)Chile,15.04,78.561
(2008)China,13.536,73.099
(2008)Colombia,20.605,73.041
(2008)Comoros,32.746,59.882
(2008)Congo  Dem. Rep.,45.058,47.588
(2008)Congo  Rep.,34.744,56.187
(2008)Costa Rica,16.643,78.94
(2008)Cote d'Ivoire,35.127,53.328
(2008)Croatia,9.556,76.075
(2008)Cuba,10.499,78.565
(2008)Cyprus,11.514,79.058
(2008)Czech Rep.,10.564,77.26
(2008)Denmark,11.546,78.408
(2008)Djibouti,28.687,56.784
(2008)Dominican Rep.,22.719,72.678
(2008)Ecuador,20.989,75.15
(2008)Egypt,24.83,72.507
(2008)El Salvador,20.377,71.543
(2008)Equatorial Guinea,38.027,50.2
(2008)Eritrea,37.283,60.272
(2008)Estonia,11.766,73.23
(2008)Ethiopia,38.558,57.481
(2008)Fiji,21.11,68.858
(2008)Finland,11.127,79.699
(2008)France,12.21,81.254
(2008)French Guiana,25.229,75.979
(2008)French Polynesia,18.075,74.584
(2008)Gabon,27.483,61.391
(2008)Gambia,36.993,57.522
(2008)Georgia,12.116,73.19
(2008)Germany,8.136,80.06
(2008)Ghana,32.507,62.88
(2008)Greece,9.65,79.594
(2008)Grenada,19.412,75.457
(2008)Guadeloupe,14.452,79.437
(2008)Guam,18.459,75.606
(2008)Guatemala,33.25,70.447
(2008)Guinea,39.88,52.692
(2008)Guinea-Bissau,41.357,46.979
(2008)Guyana,18.043,68.841
(2008)Haiti,27.852,61.106
(2008)Honduras,27.748,72.247
(2008)Hong Kong  China,8.165,81.832
(2008)Hungary,9.858,73.48
(2008)Iceland,14.738,81.846
(2008)India,22.966,64.382
(2008)Indonesia,18.756,68.118
(2008)Iran,18.94,72.199
(2008)Iraq,31.585,67.812
(2008)Ireland,15.645,79.94
(2008)Israel,20.028,80.836
(2008)Italy,9.258,81.236
(2008)Jamaica,19.461,72.362
(2008)Japan,8.201,82.81
(2008)Jordan,26.04,72.989
(2008)Kazakhstan,19.775,65.999
(2008)Kenya,39.026,55.179
(2008)Korea  Dem. Rep.,13.812,68.577
(2008)Korea  Rep.,9.488,80.064
(2008)Kuwait,17.911,74.234
(2008)Kyrgyzstan,22.38,66.899
(2008)Laos,27.612,66.237
(2008)Latvia,10.143,72.518
(2008)Lebanon,15.844,72.079
(2008)Lesotho,29.112,46.119
(2008)Liberia,38.556,54.77
(2008)Libya,23.415,74.143
(2008)Lithuania,9.468,71.84
(2008)Luxembourg,11.389,79.563
(2008)Macao  China,8.28,80.198
(2008)Macedonia  FYR,10.918,74.32
(2008)Madagascar,36.191,65.856
(2008)Malawi,40.455,51.866
(2008)Malaysia,20.534,73.52
(2008)Maldives,18.82,75.791
(2008)Mali,42.79,50.194
(2008)Malta,9.04,78.951
(2008)Martinique,12.643,80.131
(2008)Mauritania,33.798,57.711
(2008)Mauritius,14.112,72.916
(2008)Mayotte,25.391,77.147
(2008)Mexico,19.091,76.303
(2008)Micronesia  Fed. Sts.,25.487,68.434
(2008)Moldova,12.291,68.438
(2008)Mongolia,18.955,67.466
(2008)Montenegro,12.076,74.096
(2008)Morocco,20.536,71.323
(2008)Mozambique,39.509,48.976
(2008)Myanmar,20.651,63.823
(2008)Namibia,27.8,61.112
(2008)Nepal,25.611,67.589
(2008)Netherlands,11.259,80.024
(2008)Netherlands Antilles,13.401,76.184
(2008)New Caledonia,16.477,75.525
(2008)New Zealand,13.831,80.301
(2008)Nicaragua,24.848,73.153
(2008)Niger,54.053,53.322
(2008)Nigeria,40.134,50.497
(2008)Norway,12.304,80.672
(2008)Oman,22.058,72.765
(2008)Pakistan,30.209,64.709
(2008)Panama,20.819,75.605
(2008)Papua New Guinea,31.684,61.683
(2008)Paraguay,24.822,71.854
(2008)Peru,21.342,73.315
(2008)Philippines,24.963,67.963
(2008)Poland,9.792,75.678
(2008)Portugal,9.873,78.771
(2008)Puerto Rico,13.19,78.823
(2008)Qatar,12.197,77.948
(2008)Reunion,18.55,77.297
(2008)Romania,10.045,73.275
(2008)Russia,10.828,67.89
(2008)Rwanda,41.033,54.252
(2008)Saint Lucia,18.049,73.995
(2008)Saint Vincent and the Grenadines,17.725,71.713
(2008)Samoa,23.764,71.679
(2008)Sao Tome and Principe,32.399,63.935
(2008)Saudi Arabia,23.569,73.25
(2008)Senegal,38.776,58.348
(2008)Serbia,11.612,74.083
(2008)Sierra Leone,40.441,46.44
(2008)Singapore,8.191,80.672
(2008)Slovak Republic,10.176,74.88
(2008)Slovenia,9.628,78.414
(2008)Solomon Islands,30.79,66.656
(2008)Somalia,44.239,50.429
(2008)South Africa,22.113,51.37
(2008)Spain,11.016,80.935
(2008)Sri Lanka,18.287,74.456
(2008)Sudan,31.616,60.485
(2008)Suriname,19.121,69.741
(2008)Swaziland,30.014,47.391
(2008)Sweden,11.72,80.973
(2008)Switzerland,9.69,81.898
(2008)Syria,28.231,75.417
(2008)Tajikistan,28.139,66.581
(2008)Tanzania,41.648,55.821
(2008)Thailand,14.577,73.646
(2008)Timor-Leste,40.201,61.095
(2008)Togo,33.058,55.915
(2008)Tonga,28.167,71.911
(2008)Trinidad and Tobago,14.828,69.445
(2008)Tunisia,16.093,73.995
(2008)Turkey,18.426,73.156
(2008)Turkmenistan,22.014,64.658
(2008)Uganda,46.345,52.489
(2008)Ukraine,9.879,68.306
(2008)United Arab Emirates,14.027,76.035
(2008)United Kingdom,12.195,79.499
(2008)United States,14.191,77.8
(2008)Uruguay,15.089,76.453
(2008)Uzbekistan,20.36,67.585
(2008)Vanuatu,30.443,70.151
(2008)Venezuela,21.439,73.815
(2008)Vietnam,17.312,74.51
(2008)Virgin Islands (U.S.),13.536,79.014
(2008)West Bank and Gaza,35.855,72.274
(2008)Western Sahara,23.34,66.168
(2008)Yemen  Rep.,37.1,64.176
(2008)Zambia,43.152,47.112
(2008)Zimbabwe,30.028,47.199
(1953)Afghanistan,52.112,28.967
